city,arrive_depart_nodes,neutral_first_trip_stay_default,do_not_confuse,last_night_rule,source_checked,homeground_guide
Beijing,"PEK; PKX; Beijing South; Beijing West; Beijing Chaoyang; exact ticketed station","Wangfujing / Dongdan","PEK and PKX are different airport corridors; South, West and Chaoyang stations are not interchangeable","Move gateway-side only when the confirmed node, departure window or mobility risk justifies losing the final city evening",2026-08-23,https://homegroundchina.com/destinations/beijing/
Shanghai,"PVG; SHA; Shanghai Hongqiao; Shanghai; Shanghai South; exact ticketed station","People's Square / East Nanjing Road","PVG is not SHA; Hongqiao Airport and Hongqiao Railway Station serve different booked journeys","Move gateway-side only for a very early confirmed departure or high transfer risk",2026-08-23,https://homegroundchina.com/destinations/shanghai/
Xi'an,"XIY; Xi'an North; Xi'an; Xi'an East; exact ticketed station","Inside or near the City Wall","XIY, Xi'an North, Xi'an East and Xi'an Railway Station are separate nodes; copy the full ticketed name","Use an XIY buffer only when the confirmed flight window and traveller needs justify it",2026-08-23,https://homegroundchina.com/destinations/xian/
Chengdu,"TFU; CTU; Chengdu East; exact ticketed station","Chunxi Road / Taikoo Li","TFU and CTU create very different arrival chains; Chengdu East is a separate rail anchor","Choose airport-side only from the actual code, departure band and a conservative transfer check",2026-08-23,https://homegroundchina.com/destinations/chengdu/
Guangzhou,"CAN; Guangzhou South; Guangzhou East; Guangzhou; Guangzhou Baiyun; exact ticketed station","Beijing Road / Yuexiu","The railway stations must match the ticket; the city name alone is not enough","Airport-side may fit an early CAN departure after terminal and ground-transport recheck",2026-08-23,https://homegroundchina.com/destinations/guangzhou/
Hangzhou,"HGH; Hangzhou East; Hangzhou West; Hangzhou; Hangzhou South; exact ticketed station","Hubin / east shore","The airport, East and West stations pull in different directions; West Lake is not one hotel pin","Move airport-side only when the confirmed HGH departure and transfer risk justify it",2026-08-23,https://homegroundchina.com/destinations/hangzhou/
Zhangjiajie,"DYG; Zhangjiajie West; Zhangjiajie Railway Station; confirmed scenic-area transfer","Choose Zhangjiajie city or Wulingyuan from confirmed sight order","The airport, rail stations, Tianmen Mountain, Forest Park gates and Grand Canyon are separate anchors","A city-side final night may reduce risk for an early DYG flight; avoid daily city–Wulingyuan ping-pong",2026-08-23,https://homegroundchina.com/destinations/zhangjiajie/
Chongqing,"CKG; Chongqing North; Chongqing West; Chongqing East; Shapingba; exact ticketed station","Jiefangbei","North, West, East and Shapingba are not interchangeable; vertical terrain makes map distance misleading","Move airport-side only for an early CKG departure or substantial mobility and luggage risk",2026-08-23,https://homegroundchina.com/destinations/chongqing/
Guilin / Yangshuo,"KWL; Guilin; Guilin North; Guilin West; Yangshuo; exact river or road endpoint","Guilin for gateway nights; Yangshuo town / Yulong River for countryside nights","Yangshuo Railway Station is not in Yangshuo town; railway, road and Li River journeys end at different places","KWL-side lodging is a departure-risk tool; a Guilin city final night may already be enough",2026-08-23,https://homegroundchina.com/guides/guilin-airport-or-railway-station-arrival-guide/
Shenzhen,"SZX; Shenzhen North; Futian; Shenzhen/Luohu; exact border checkpoint","Futian","Futian Railway Station is not Futian Checkpoint; Shenzhen Station is beside Luohu but is not the border process","Move airport-side only when an early SZX departure or connection risk outweighs the final city evening",2026-08-23,https://homegroundchina.com/guides/shenzhen-airport-railway-station-border-port-selector/
